accession	group	profile	fragpipe_ver	msfragger_ver	fp_workflow_sha256	fp_conforms	sage_ver	sage_config_sha256	sage_conforms	git_commit	working_tree_dirty	run_config_sha256	config_matches_current	job_id	started_utc
PXD059168	mouse_trypsin	acyl_lactyl	24.0	4.4	fb6dea8acfeae76a	False	sage 0.15.0-beta.2	31da1b051e038c19	True	cfa0d6df250f	True	6eda36046538b1d6	True	480229	2026-07-23T17:58:34Z
PXD060091	(single)	(none)	24.0	4.4	a0aa468364d7a580	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	264970	2026-05-25T20:32:10Z
PXD060098	(single)	(none)	24.0	4.4	ce79087409952c20	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	264971	2026-05-25T21:23:32Z
PXD060682	(single)	(none)	24.0	4.4	446bf7ba7e07368e	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	264984	2026-05-25T22:56:49Z
PXD060977	(single)	(none)	24.0	4.4	2bfacf599c921075	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	264985	2026-05-25T23:57:35Z
PXD061039	(single)	(none)	24.0	4.4	152b0abb52e6ad59	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	264986	2026-05-26T03:27:38Z
PXD061057	(single)	(none)	24.0	4.4	37d2d89031ae71b0	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	5cd0f62adc48	True	f49a191fc2a7da62	False	264987	2026-05-26T04:22:46Z
PXD061265	(single)	(none)	24.0	4.4	142acab86b6102cd	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	265053	2026-05-26T09:06:18Z
PXD061892	(single)	(none)	24.0	4.4	faa92c0dc01a848a	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	267039	2026-05-26T11:01:40Z
PXD062384	(single)	(none)	24.0	4.4	8135baba9e203c6c	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	267443	2026-05-26T11:36:11Z
PXD062679	(single)	(none)	24.0	4.4	264ae0ddbb3352be	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	268737	2026-05-26T16:49:46Z
PXD062684	(single)	(none)	24.0	4.4	8e4e5514a96edec7	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	270131	2026-05-26T23:30:21Z
PXD062839	(single)	(none)	24.0	4.4	4ef6e93c10d76a98	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	270132	2026-05-26T23:37:46Z
PXD064389	(single)	(none)	24.0	4.4	66aad623c42e743d	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	270137	2026-05-27T01:07:43Z
PXD064795	(single)	(none)	24.0	4.4	6bf245b97570329e	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	270138	2026-05-27T01:21:22Z
PXD064837	(single)	(none)	24.0	4.4	7b7cbf2b01b823db	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	270139	2026-05-27T01:50:53Z
PXD064980	human_trypsin	hla	24.0	4.4	629aba4ec0edd70e	False	sage 0.15.0-beta.2	9dbc86d37117e781	True	cfa0d6df250f	True	709a5b18400fd3f6	False	270145	2026-05-27T02:39:27Z
PXD065109	(single)	(none)	24.0	4.4	5f853b6e6f89c20c	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	270147	2026-05-27T03:22:26Z
PXD065448	(single)	(none)	24.0	4.4	54192a6db118d579	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	270148	2026-05-27T03:22:57Z
PXD065562	(single)	(none)	24.0	4.4	74496f47c0e77272	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	270251	2026-05-27T10:06:12Z
PXD065685	(single)	(none)	24.0	4.4	f937301914749d80	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	709a5b18400fd3f6	False	270255	2026-05-27T10:27:35Z
PXD066365	(single)	(none)	24.0	4.4	3ecd202653f11c1d	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	2ddc6abfdca46f5a	False	270271	2026-05-27T11:42:33Z
PXD067659	(single)	(none)	24.0	4.4	629759e4f740816c	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	2ddc6abfdca46f5a	False	270273	2026-05-27T11:43:52Z
PXD068043	(single)	(none)	24.0	4.4	8779007c10bca636	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	2ddc6abfdca46f5a	False	270314	2026-05-27T12:06:52Z
PXD068118	(single)	(none)	24.0	4.4	bea8046ab7b016ab	True	sage 0.15.0-beta.2	4a9314b54ec8ca87	True	cfa0d6df250f	True	2ddc6abfdca46f5a	False	270475	2026-05-27T14:19:22Z
PXD068410	(single)	(none)	24.0	4.4	ac4836ffd94cb6dc	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	2ddc6abfdca46f5a	False	270478	2026-05-27T14:20:17Z
PXD068808	(single)	(none)	24.0	4.4	245ed429782f1f8c	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	2ddc6abfdca46f5a	False	270548	2026-05-27T15:42:51Z
PXD069251	(single)	(none)	24.0	4.4	cab9756cb4fd73e5	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	2ddc6abfdca46f5a	False	270552	2026-05-27T15:54:11Z
PXD069382	(single)	(none)	24.0	4.4	4059dc8261945723	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271144	2026-05-27T22:21:25Z
PXD069593	(single)	(none)	24.0	4.4	be605d176c91d901	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271150	2026-05-27T23:53:58Z
PXD069732	(single)	(none)	24.0	4.4	08776d067e61a466	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271181	2026-05-28T00:32:59Z
PXD069989	(single)	(none)	24.0	4.4	385faf790f9c98fa	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271182	2026-05-28T02:10:57Z
PXD070152	(single)	(none)	24.0	4.4	469500ba5fc718ea	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271183	2026-05-28T03:44:27Z
PXD070632	(single)	(none)	24.0	4.4	57092a9d4237aa5f	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271186	2026-05-28T04:01:00Z
PXD071403	(single)	(none)	24.0	4.4	ea6e98f0b47d3bc5	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271299	2026-05-28T07:23:28Z
PXD071471	(single)	(none)	24.0	4.4	736f326ee4702ad9	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271388	2026-05-28T10:23:13Z
PXD071487	(single)	(none)	24.0	4.4	4647321aece5f2ba	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271423	2026-05-28T11:41:04Z
PXD072060	(single)	(none)	24.0	4.4	1056a7e61f7f46dc	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	271438	2026-05-28T12:13:56Z
PXD072598	(single)	(none)	24.0	4.4	2bce27bf55d908bc	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	276594	2026-05-28T15:43:16Z
PXD073076	(single)	phospho					sage 0.15.0-beta.2	0011426e4c16e2b9	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	278931	2026-05-28T20:05:45Z
PXD074155	human_trypsin	hla	24.0	4.4	1a966e8afa6731e6	True	sage 0.15.0-beta.2	d9f1a06c81aff6e7	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	278932	2026-05-28T20:08:03Z
PXD075276	human_trypsin	acyl_malonyl	24.0	4.4	f94b3aafb322f981	False	sage 0.15.0-beta.2	670706036f4cf3bc	True	cfa0d6df250f	True	6eda36046538b1d6	True	569996	2026-08-24T08:16:31Z
PXD076520	(single)	(none)	24.0	4.4	58ec55f17bae087d	True	sage 0.15.0-beta.2	111456ac306c485d	True	cfa0d6df250f	True	95ff8fb1b31b1405	False	260719	2026-05-28T21:50:11Z
PXD078736	human_trypsin	acyl_lactyl	24.0	4.4	4a2275fc9a374ab7	False	sage 0.15.0-beta.2	31da1b051e038c19	True	cfa0d6df250f	True	6eda36046538b1d6	True	570106	2026-08-24T09:09:09Z
